"Sale_Price","Street","Utilities","Total_Bsmt_SF","Garage_Cars","Pool_Area","Gr_Liv_Area","Fireplaces","Lot_Area","Bedroom_AbvGr","TotRms_AbvGrd"
155000,"Pave","AllPub",696,2,0,1416,0,2572,3,6
147110,"Pave","AllPub",530,2,0,1080,0,2403,2,4
267916,"Pave","AllPub",1642,3,0,1418,1,12853,1,6
254000,"Pave","AllPub",975,2,0,1848,1,7379,3,7
155000,"Pave","AllPub",728,2,0,788,1,4420,1,3
206000,"Pave","AllPub",1226,2,0,1226,1,3880,1,4
130500,"Pave","AllPub",725,2,0,1479,0,13517,3,6
230000,"Pave","AllPub",1492,2,0,1492,1,8000,3,6
218500,"Pave","AllPub",1829,2,0,1829,0,10456,4,8
243500,"Pave","AllPub",1280,2,0,2495,1,10791,4,9
205000,"Pave","AllPub",1610,2,0,1610,2,10603,3,6
212500,"Pave","AllPub",1224,2,0,1891,1,18837,3,7
196500,"Pave","AllPub",980,2,0,1714,1,10421,3,7
197500,"Pave","AllPub",1161,2,0,1381,1,9360,3,5
171000,"Pave","AllPub",715,2,0,1645,0,9600,4,7
142250,"Pave","AllPub",1232,2,0,1232,0,9600,3,6
143000,"Pave","AllPub",1328,2,0,1328,2,9790,3,6
128950,"Pave","AllPub",950,0,0,1225,0,9320,3,6
159000,"Pave","AllPub",1209,2,0,1209,0,9900,3,6
178900,"Pave","AllPub",1510,2,0,1510,0,9680,3,6
136300,"Pave","AllPub",533,2,0,1775,0,10600,3,8
180500,"Pave","AllPub",1152,2,0,1152,1,14112,3,6
137500,"Pave","AllPub",936,2,0,1054,0,8800,3,6
84900,"Pave","AllPub",1728,0,0,1728,0,13260,6,10
142125,"Pave","AllPub",1078,1,0,1078,0,9717,2,5
197600,"Pave","AllPub",1140,2,0,2461,2,9724,3,7
172500,"Pave","AllPub",782,2,0,1556,1,17360,3,6
116500,"Pave","AllPub",858,0,0,858,0,7207,2,4
76500,"Pave","AllPub",728,0,0,1306,0,5350,3,6
128000,"Pave","AllPub",1056,1,0,1063,0,9920,3,6
153000,"Pave","AllPub",1156,1,0,1520,2,9600,3,7
132000,"Pave","AllPub",1268,1,0,1268,1,7800,2,7
178000,"Pave","AllPub",1080,1,0,1128,1,11380,2,5
154300,"Pave","AllPub",1105,2,0,2274,0,11600,5,12
180000,"Pave","AllPub",1947,2,0,2207,1,19900,3,7
190000,"Pave","AllPub",1517,2,0,1888,1,16492,2,6
135000,"Pave","AllPub",1604,2,0,1604,0,8267,4,8
214000,"Pave","AllPub",1480,2,0,1480,0,8197,3,7
136000,"Pave","AllPub",1143,1,0,1143,0,8050,3,6
165500,"Pave","AllPub",1398,2,0,1700,1,10552,4,6
145000,"Pave","AllPub",1314,1,0,1314,0,8400,3,5
148000,"Pave","AllPub",1194,1,0,1194,0,8760,3,6
142000,"Pave","AllPub",1188,2,0,1188,0,12160,3,6
167500,"Pave","AllPub",1268,2,0,1264,2,9300,3,6
108538,"Pave","AllPub",1206,1,0,1206,0,10725,3,6
159500,"Pave","AllPub",1244,2,0,1580,2,10032,3,6
108000,"Pave","AllPub",832,1,0,1337,0,8382,3,5
135000,"Pave","AllPub",864,1,0,1064,0,10950,2,4
122500,"Pave","AllPub",972,1,0,972,0,10895,3,5
119000,"Pave","AllPub",988,1,0,988,0,13587,2,5
109000,"Pave","AllPub",1057,1,0,1057,0,7922,3,5
105000,"Pave","AllPub",576,2,0,985,0,7898,2,4
107500,"Pave","AllPub",0,1,0,827,1,7200,2,5
144900,"Pave","AllPub",1086,2,0,1086,0,10200,3,6
129000,"Pave","AllPub",936,1,0,936,0,5868,2,4
97500,"Pave","AllPub",912,1,0,1458,1,17503,3,6
144000,"Pave","AllPub",1056,2,0,1056,0,6979,0,4
162000,"Pave","AllPub",1063,2,0,1287,1,9830,3,7
242000,"Pave","AllPub",710,2,0,2978,1,11275,5,11
132000,"Pave","AllPub",816,1,0,1224,0,8064,3,5
154000,"Pave","AllPub",1246,1,0,1246,0,7500,3,6
166000,"Pave","AllPub",910,2,0,1385,0,8520,4,6
134800,"Pave","AllPub",900,2,0,900,0,7200,3,5
160000,"Pave","AllPub",1116,2,0,1116,0,10000,3,5
148000,"Pave","AllPub",1175,2,0,1175,0,7635,3,6
192000,"Pave","AllPub",1395,2,0,1395,1,9760,2,7
155000,"Pave","AllPub",756,2,0,1839,1,7700,4,7
80400,"Pave","AllPub",709,1,0,1844,2,4800,3,9
96500,"Pave","AllPub",576,0,0,1140,0,8800,3,7
109500,"Pave","AllPub",936,0,0,936,1,4485,2,5
115000,"Pave","AllPub",1008,2,0,1028,1,8960,2,5
143000,"Pave","AllPub",1347,2,0,1347,0,5805,3,6
107400,"Pave","AllPub",840,1,0,1605,0,5790,3,8
80000,"Pave","AllPub",747,1,0,747,0,4608,2,4
119000,"Pave","AllPub",788,1,0,804,2,7200,2,4
130000,"Pave","AllPub",926,2,0,1316,0,5500,3,6
119000,"Pave","AllPub",827,1,0,1251,0,6900,3,6
129000,"Pave","AllPub",1027,1,0,1633,1,11851,3,7
100000,"Pave","AllPub",1008,1,0,1245,0,8239,3,6
12789,"Pave","AllPub",678,2,0,832,1,9656,2,5
105900,"Pave","AllPub",624,2,0,720,0,8520,2,5
150000,"Pave","AllPub",930,1,0,1566,0,9600,3,7
139000,"Pave","AllPub",686,1,0,1652,0,10800,4,7
240000,"Pave","AllPub",346,2,0,2268,0,9000,3,7
76500,"Pave","AllPub",840,0,0,2256,0,9045,4,12
149700,"Pave","AllPub",912,2,0,1236,0,7407,2,6
125500,"Pave","AllPub",622,2,0,1363,0,7740,3,6
122500,"Pave","AllPub",777,2,0,2290,0,11340,4,11
140750,"Pave","AllPub",738,2,0,1470,0,10560,2,6
128500,"Pave","AllPub",988,1,0,1612,0,5830,3,7
209500,"Pave","AllPub",1108,1,0,2068,1,7793,3,8
87000,"Pave","AllPub",765,1,0,765,0,5000,2,4
134000,"Pave","AllPub",608,1,0,1132,0,6000,2,5
128000,"Pave","AllPub",572,2,0,1196,2,6000,3,6
132000,"Pave","AllPub",835,1,0,1453,2,6360,3,7
139900,"Pave","AllPub",780,1,0,1416,0,6000,3,6
123900,"Pave","AllPub",528,2,0,1040,0,6240,2,5
138400,"Pave","AllPub",928,2,0,1536,1,6240,4,7
109500,"Pave","AllPub",1124,1,0,1068,1,6120,2,5
140000,"Pave","AllPub",576,2,0,1710,0,10300,3,9
149500,"Pave","AllPub",888,2,0,1962,1,8094,4,9
159900,"Pave","AllPub",780,0,0,1560,0,12900,3,7
122000,"Pave","AllPub",662,1,0,1324,0,3068,3,6
110000,"Grvl","AllPub",816,2,0,816,0,8472,2,5
55000,"Pave","AllPub",0,0,0,1092,0,5600,3,7
140000,"Pave","AllPub",360,2,0,1812,1,7630,4,8
244400,"Pave","AllPub",1032,1,0,2403,2,24090,4,10
173000,"Pave","AllPub",1422,1,0,1675,2,15263,3,8
107500,"Pave","AllPub",689,1,0,1224,0,10632,3,6
100000,"Pave","AllPub",1212,0,0,1392,0,9900,3,6
95000,"Pave","AllPub",600,1,0,919,0,6001,3,5
93369,"Pave","AllPub",707,0,0,1884,0,6449,4,7
114900,"Pave","AllPub",856,2,0,1680,1,6048,2,7
94000,"Pave","AllPub",780,0,0,1020,0,6342,2,6
136000,"Pave","AllPub",1832,0,0,1832,0,10773,4,8
136500,"Pave","AllPub",1768,0,0,1768,0,10778,4,8
131500,"Pave","AllPub",1039,2,0,1039,0,11625,3,6
121500,"Pave","AllPub",1392,2,0,1392,1,11341,3,5
125000,"Pave","AllPub",912,1,0,912,1,8521,3,5
154000,"Pave","AllPub",1060,1,0,1060,1,8246,3,6
137900,"Pave","AllPub",864,1,0,892,0,7800,3,5
158000,"Pave","AllPub",663,1,0,1352,0,9364,4,7
137250,"Pave","AllPub",864,1,0,864,0,7832,2,4
160250,"Pave","AllPub",1319,2,0,1373,2,7424,3,5
163000,"Pave","AllPub",720,2,0,1440,2,11227,4,7
158900,"Pave","AllPub",672,2,0,1386,1,11616,3,6
328000,"Pave","AllPub",1306,2,0,2260,0,14000,3,7
270000,"Pave","AllPub",1420,2,0,1483,2,20062,1,4
85000,"Pave","AllPub",660,2,0,756,0,9259,2,4
128000,"Pave","AllPub",1067,2,0,1067,0,9600,2,4
260000,"Pave","AllPub",1332,2,0,1524,1,23595,0,4
230000,"Pave","AllPub",1117,2,0,1981,1,17082,4,8
124000,"Pave","AllPub",972,1,0,1610,1,18600,4,8
83000,"Pave","AllPub",458,1,0,835,0,10625,2,5
144500,"Pave","AllPub",663,1,0,1074,1,11479,3,6
129000,"Pave","AllPub",1144,1,0,1144,0,9571,3,6
127000,"Pave","AllPub",756,1,0,1531,1,9350,3,8
128000,"Pave","AllPub",1172,1,0,1172,0,9525,3,5
186000,"Pave","AllPub",1212,2,0,1212,0,10420,3,6
308030,"Pave","AllPub",1508,2,0,1508,2,17485,1,5
114000,"Pave","AllPub",1250,2,0,1298,0,11200,3,5
84900,"Pave","AllPub",0,1,0,930,0,11100,2,6
178000,"Pave","AllPub",741,2,0,1732,1,9206,3,7
270000,"Pave","AllPub",1433,2,0,1433,2,11980,1,4
218000,"Pave","AllPub",946,4,0,1802,1,12361,3,8
236000,"Pave","AllPub",1050,2,0,1949,1,9938,3,8
147000,"Pave","AllPub",936,2,0,996,0,9069,2,5
245350,"Pave","AllPub",1694,3,0,1694,0,10475,3,7
206000,"Pave","AllPub",1187,2,0,1208,0,6762,2,6
198900,"Pave","AllPub",1226,3,0,1226,0,10402,3,6
187000,"Pave","AllPub",1222,2,0,1222,0,7360,2,6
320000,"Pave","AllPub",1673,3,0,3222,2,12376,5,11
138500,"Pave","AllPub",676,2,0,1445,0,14235,3,6
155000,"Pave","AllPub",1010,2,0,1052,0,8816,3,6
159000,"Pave","AllPub",870,2,0,965,0,11105,2,4
191000,"Pave","AllPub",878,2,0,1692,1,9337,3,8
200500,"Pave","AllPub",804,2,0,1682,0,8750,3,7
150000,"Pave","AllPub",1026,1,0,1026,0,15240,3,5
161750,"Pave","AllPub",689,1,0,1392,0,10900,3,6
128200,"Pave","AllPub",894,1,0,894,0,10650,3,5
127000,"Pave","AllPub",876,2,0,876,0,7480,3,5
318000,"Pave","AllPub",1978,3,0,1978,1,10389,3,8
272000,"Pave","AllPub",1581,2,0,1601,1,11423,3,6
237000,"Pave","AllPub",941,2,0,1829,1,9548,3,7
240000,"Pave","AllPub",1040,2,0,2098,1,9375,4,9
224900,"Pave","AllPub",1649,2,0,1661,0,12137,3,6
143750,"Pave","AllPub",848,2,0,848,0,4435,1,4
143000,"Pave","AllPub",848,2,0,848,0,4426,1,3
232000,"Pave","AllPub",1657,2,0,1668,1,10635,3,8
213000,"Pave","AllPub",1473,2,0,1484,0,8400,3,7
185500,"Pave","AllPub",1414,2,0,1414,0,8773,3,6
84900,"Pave","AllPub",0,1,0,640,0,8777,2,5
155891,"Pave","AllPub",381,1,0,992,0,8842,3,6
100000,"Pave","AllPub",0,0,0,1664,0,9825,4,8
144000,"Pave","AllPub",1196,1,0,1196,0,10044,3,6
64000,"Pave","AllPub",744,2,0,1120,0,11792,2,5
125200,"Pave","AllPub",1008,1,0,1096,1,6305,3,5
107000,"Pave","AllPub",1029,2,0,1117,1,7819,3,6
90000,"Pave","AllPub",960,0,0,960,0,6410,3,5
140000,"Pave","AllPub",1121,2,0,1121,0,8546,2,5
113000,"Pave","AllPub",735,1,0,1487,1,8741,3,7
80000,"Pave","AllPub",672,1,0,924,0,12180,2,5
144500,"Pave","AllPub",1216,1,0,1526,1,8562,4,7
104000,"Pave","AllPub",1107,1,0,1296,1,4853,2,5
128000,"Pave","AllPub",806,1,0,1647,0,6858,4,6
58500,"Pave","AllPub",864,1,0,864,0,8212,2,5
127000,"Pave","AllPub",1026,1,0,1691,1,5000,3,6
126000,"Pave","AllPub",856,2,0,856,1,7890,2,4
160000,"Pave","AllPub",0,0,0,2650,0,7200,6,10
100000,"Pave","AllPub",894,0,0,1666,1,9839,3,7
169000,"Pave","AllPub",804,1,0,2447,1,9638,4,10
257500,"Pave","AllPub",1528,1,0,2133,2,10452,4,8
215000,"Pave","AllPub",1032,2,0,2177,0,15600,5,11
266500,"Pave","AllPub",1152,1,0,2340,2,9042,4,9
335000,"Pave","AllPub",1902,2,0,1902,2,17500,3,7
203135,"Pave","AllPub",423,2,0,1652,0,19645,3,6
185000,"Pave","AllPub",982,2,0,1034,1,3907,1,4
162500,"Pave","AllPub",1191,2,0,1191,1,3907,2,5
289000,"Pave","AllPub",1501,2,0,1801,2,15602,1,6
125500,"Pave","AllPub",796,1,0,1154,0,5436,3,7
82000,"Pave","AllPub",480,1,0,540,0,8154,1,4
110000,"Pave","AllPub",629,1,0,1107,0,9140,2,5
68400,"Pave","AllPub",698,2,0,1128,0,7500,2,6
102776,"Pave","AllPub",859,1,0,1178,0,8712,2,7
55993,"Grvl","AllPub",540,2,0,1044,0,8712,2,4
50138,"Grvl","AllPub",756,1,0,952,0,8712,3,5
246000,"Pave","AllPub",1594,2,0,1646,1,3811,2,5
254900,"Pave","AllPub",1049,3,0,1916,1,11050,3,8
190000,"Pave","AllPub",1243,2,0,1285,1,9620,3,6
201000,"Pave","AllPub",1560,2,0,1560,0,9196,3,7
169900,"Pave","AllPub",1012,3,0,1034,0,12328,3,6
170000,"Pave","AllPub",1958,2,0,2048,0,12760,5,9
160000,"Pave","AllPub",747,2,0,1687,2,57200,3,7
220000,"Pave","AllPub",1336,3,0,1346,1,11896,3,6
179781,"Pave","AllPub",1214,2,0,1214,0,9803,2,6
174000,"Pave","AllPub",384,2,0,1444,0,9802,3,7
269500,"Pave","AllPub",774,3,0,1968,1,12003,4,8
214900,"Pave","AllPub",817,2,0,1894,1,11316,4,8
202900,"Pave","AllPub",967,2,0,1908,0,14191,4,9
378500,"Pave","AllPub",2002,3,0,2018,1,13214,3,10
169000,"Pave","AllPub",1068,2,0,1264,1,15300,2,7
173500,"Pave","AllPub",1430,2,0,1430,0,10114,3,7
139000,"Pave","AllPub",912,0,0,1824,0,9400,4,8
166500,"Pave","AllPub",1344,2,0,1344,1,11875,3,7
83500,"Pave","AllPub",546,1,0,1092,0,1974,3,6
119500,"Pave","AllPub",945,1,0,945,1,2394,2,5
85000,"Pave","AllPub",536,1,0,1112,0,2592,3,4
76000,"Pave","AllPub",546,0,0,1092,0,1476,3,5
75500,"Pave","AllPub",630,0,0,630,0,1491,1,3
88250,"Pave","AllPub",546,0,0,1092,0,1900,3,5
85500,"Pave","AllPub",546,1,0,1092,0,1890,3,5
130000,"Pave","AllPub",864,1,0,874,0,6953,3,5
157900,"Pave","AllPub",1188,1,0,1188,0,26142,3,6
149900,"Pave","AllPub",833,2,0,833,0,12887,2,5
159000,"Pave","AllPub",1216,2,0,2432,0,7700,4,10
136000,"Pave","AllPub",624,2,0,1274,0,10475,3,6
161000,"Pave","AllPub",864,1,0,1479,0,10544,5,8
285000,"Pave","AllPub",1679,2,0,1803,2,9892,3,6
231000,"Pave","AllPub",1152,2,0,1797,1,12961,3,7
124500,"Pave","AllPub",882,1,0,882,0,13008,2,5
157000,"Pave","AllPub",1434,2,0,1434,1,10200,4,7
345000,"Pave","AllPub",1952,2,0,2704,3,13860,4,9
189500,"Pave","AllPub",945,2,0,1608,1,10179,3,7
270000,"Pave","AllPub",1008,3,0,2283,1,11792,4,9
189000,"Pave","AllPub",384,2,0,1628,1,8400,3,7
377500,"Pave","AllPub",1746,3,0,1746,2,14892,3,7
168500,"Pave","AllPub",384,2,0,1474,1,8530,3,7
375000,"Pave","AllPub",2208,2,0,2522,1,7296,1,8
278000,"Pave","AllPub",1501,2,0,1659,1,5664,2,5
240000,"Pave","AllPub",1418,2,0,1478,0,7380,2,5
239500,"Pave","AllPub",1587,2,0,1734,0,8013,2,6
177500,"Pave","AllPub",384,2,0,1382,1,8923,3,7
185000,"Pave","AllPub",832,2,0,1718,1,10141,3,7
191000,"Pave","AllPub",952,2,0,1636,1,7500,3,7
178000,"Pave","AllPub",799,2,0,1571,1,7837,3,7
185000,"Pave","AllPub",680,2,0,1470,1,9765,3,6
181316,"Pave","AllPub",707,2,0,1516,1,8803,3,7
166000,"Pave","AllPub",1181,2,0,1190,1,7250,3,6
178000,"Pave","AllPub",808,2,0,1593,1,9636,3,7
174000,"Pave","AllPub",702,2,0,1481,1,8125,3,6
173000,"Pave","AllPub",1158,2,0,1167,0,9248,3,6
225000,"Pave","AllPub",978,2,0,1983,1,10762,3,9
180500,"Pave","AllPub",1424,2,0,1442,0,11851,3,5
187500,"Pave","AllPub",1220,2,0,1360,1,5814,1,4
501837,"Pave","AllPub",2216,3,0,2234,1,17423,1,9
372500,"Pave","AllPub",2046,3,0,2046,1,11844,3,7
260000,"Pave","AllPub",1530,2,0,1530,1,16158,3,7
185000,"Pave","AllPub",1122,2,0,1934,1,11900,3,6
260000,"Pave","AllPub",845,2,0,2353,1,13005,4,10
181000,"Pave","AllPub",1362,2,0,1586,1,17043,3,7
82500,"Pave","AllPub",1386,2,0,1411,1,11900,3,6
215000,"Pave","AllPub",1602,2,0,1602,1,16635,3,8
154000,"Pave","AllPub",832,2,0,2050,1,13250,4,8
200000,"Pave","AllPub",1427,2,0,1671,1,10928,3,7
249000,"Pave","AllPub",1043,2,0,2673,1,12388,4,9
187500,"Pave","AllPub",1372,2,0,1472,2,14115,3,6
184000,"Pave","AllPub",1140,2,0,1707,1,11088,3,7
278000,"Pave","AllPub",2524,2,0,2524,1,9600,4,9
157000,"Pave","AllPub",1271,2,0,1601,1,11880,3,7
152000,"Pave","AllPub",1090,2,0,1370,1,10400,3,6
197500,"Pave","AllPub",780,2,0,1868,1,10304,4,9
240900,"Pave","AllPub",926,2,0,1884,1,7000,3,7
263435,"Pave","AllPub",832,2,0,1935,0,8004,3,8
220000,"Pave","AllPub",1058,2,0,1874,1,7500,3,7
235000,"Pave","AllPub",972,2,0,1811,1,8470,3,7
213000,"Pave","AllPub",1621,2,0,1621,2,9373,3,7
167900,"Pave","AllPub",1116,2,0,1116,1,10140,3,6
158000,"Pave","AllPub",1176,2,0,1193,1,11050,3,5
165000,"Pave","AllPub",1064,2,0,1350,1,10140,3,7
158000,"Pave","AllPub",689,2,0,2119,1,10448,3,7
136000,"Pave","AllPub",896,0,0,1792,0,9000,4,8
148500,"Pave","AllPub",1002,2,0,1002,0,8750,3,5
156000,"Pave","AllPub",1026,2,0,1026,0,7930,3,5
128000,"Pave","AllPub",1180,2,0,1180,0,7830,2,6
143000,"Pave","AllPub",1043,1,0,1050,0,8510,3,6
76500,"Pave","AllPub",864,2,0,864,0,7038,3,5
120500,"Pave","AllPub",864,2,0,864,0,6960,3,5
124500,"Pave","AllPub",864,2,0,864,0,8120,3,5
97000,"Pave","AllPub",864,2,0,864,0,10500,2,4
130000,"Pave","AllPub",864,2,0,864,0,9000,3,5
111000,"Pave","AllPub",483,1,0,987,0,1680,2,5
125000,"Pave","AllPub",765,2,0,1365,0,2368,3,7
112000,"Pave","AllPub",630,1,0,1302,0,1680,3,6
97000,"Pave","AllPub",483,1,0,987,0,1680,2,5
118000,"Pave","AllPub",483,1,0,987,0,1680,2,5
119500,"Pave","AllPub",630,1,0,1302,0,1680,3,6
143750,"Pave","AllPub",958,2,0,958,0,4928,2,5
146000,"Pave","AllPub",804,2,0,1548,1,2308,3,7
148500,"Pave","AllPub",855,2,0,1456,1,2280,3,7
123000,"Pave","AllPub",1057,2,0,1055,1,2280,2,4
147000,"Pave","AllPub",855,2,0,1322,1,2308,3,6
137900,"Pave","AllPub",855,2,0,1456,1,2349,3,6
147000,"Pave","AllPub",804,2,0,1548,1,2364,3,7
148500,"Pave","AllPub",855,2,0,1441,1,2289,3,7
138000,"Pave","AllPub",855,2,0,1456,1,2364,3,6
128500,"Pave","AllPub",836,1,0,836,0,2104,2,5
100000,"Pave","AllPub",892,1,0,892,0,7150,3,5
148800,"Pave","AllPub",864,2,0,1120,1,10710,3,5
337500,"Pave","AllPub",1700,3,0,1718,1,12456,3,7
462000,"Pave","AllPub",1776,3,0,2772,3,14257,4,10
485000,"Pave","AllPub",1926,3,0,3140,2,13518,4,11
555000,"Pave","AllPub",3094,3,0,2402,2,15431,2,10
325000,"Pave","AllPub",1652,2,0,1652,2,13173,2,6
256300,"Pave","AllPub",1566,3,0,1600,1,14230,3,7
253293,"Pave","AllPub",2042,3,0,2042,1,12704,3,8
398800,"Pave","AllPub",1365,3,0,2690,1,12350,3,8
335000,"Pave","AllPub",1104,3,0,2184,1,11308,3,10
404000,"Pave","AllPub",2020,3,0,2020,1,12350,3,7
402861,"Pave","AllPub",2006,3,0,2020,1,12220,3,9
451950,"Pave","AllPub",1722,3,0,2296,1,13478,3,10
610000,"Pave","AllPub",2630,3,0,2674,2,13693,2,8
582933,"Pave","AllPub",1734,3,0,2822,1,13891,4,12
360000,"Pave","AllPub",1736,3,0,1736,1,11578,3,7
296000,"Pave","AllPub",1782,3,0,1782,2,16870,3,7
409900,"Pave","AllPub",1508,3,0,2520,1,23303,5,10
255500,"Pave","AllPub",1709,3,0,1717,1,11146,3,7
335000,"Pave","AllPub",1739,3,0,1743,1,10367,3,8
274900,"Pave","AllPub",1713,3,0,1713,1,9591,3,7
